Country,Continent,Month,Year,Season,Type Shark
New Zealand,Oceania,1,2001,Summer,White Shark
Australia,Oceania,12,2000,Summer,White Shark
Australia,Oceania,11,2000,Spring,Tiger
Australia,Oceania,11,2000,Spring,White Shark
Australia,Oceania,11,2000,Spring,White Shark
Australia,Oceania,10,2000,Spring,White Shark
Australia,Oceania,9,2000,Spring,White Shark
Australia,Oceania,9,2000,Spring,White Shark
South Africa,Africa,9,2000,Spring,White Shark
New Zealand,Oceania,6,2000,Winter,Mako
New Caledonia,Oceania,5,2000,Autumn,Tiger
New Caledonia,Oceania,3,2000,Autumn,Tiger
Australia,Oceania,3,2000,Autumn,Tiger
South Africa,Africa,2,2000,Summer,White Shark
Brazil,South America,12,1999,Summer,White Shark
Italy,Europe,9,1999,Autumn,White Shark
Bahamas,North America,8,1999,Summer,Bull
South Africa,Africa,7,1999,Winter,White Shark
South Africa,Africa,7,1999,Winter,White Shark
South Africa,Africa,7,1999,Winter,White Shark
Australia,Oceania,5,1999,Autumn,White Shark
Brazil,South America,5,1999,Autumn,Tiger
New Zealand,Oceania,3,1999,Autumn,Mako
Australia,Oceania,2,1999,Summer,Tiger
Mauritius,Africa,1,1999,Summer,Bull
Brazil,South America,11,1998,Spring,White Shark
South Africa,Africa,8,1998,Winter,Tiger
South Africa,Africa,8,1998,Winter,White Shark
South Africa,Africa,8,1998,Winter,White Shark
Australia,Oceania,6,1998,Winter,White Shark
South Africa,Africa,6,1998,Winter,White Shark
South Africa,Africa,5,1998,Autumn,White Shark
South Africa,Africa,5,1998,Autumn,White Shark
South Africa,Africa,3,1998,Autumn,White Shark
South Africa,Africa,12,1997,Summer,White Shark
Australia,Oceania,11,1997,Spring,White Shark
Australia,Oceania,10,1997,Spring,White Shark
Mexico,North America,8,1997,Summer,Tiger
Egypt,Africa,8,1997,Winter,White Shark
South Africa,Africa,7,1997,Winter,White Shark
Fiji,Oceania,6,1997,Winter,Tiger
Brazil,South America,4,1997,Autumn,White Shark
Australia,Oceania,2,1997,Summer,Tiger
Australia,Oceania,1,1997,Summer,Tiger
Australia,Oceania,1,1997,Summer,White Shark
South Africa,Africa,12,1996,Summer,White Shark
New Zealand,Oceania,9,1996,Spring,White Shark
South Africa,Africa,9,1996,Spring,White Shark
Australia,Oceania,6,1996,Winter,White Shark
South Africa,Africa,5,1996,Autumn,White Shark
Australia,Oceania,3,1996,Autumn,Tiger
Australia,Oceania,1,1996,Summer,Mako
New Zealand,Oceania,11,1995,Spring,White Shark
Australia,Oceania,9,1995,Spring,White Shark
Hong Kong,Asia,6,1995,Summer,Tiger
Japan,Asia,4,1995,Spring,White Shark
South Africa,Africa,1,1995,Summer,Tiger
South Africa,Africa,12,1994,Summer,White Shark
South Africa,Africa,7,1994,Winter,White Shark
South Africa,Africa,7,1994,Winter,White Shark
South Africa,Africa,4,1994,Autumn,White Shark
Chile,South America,3,1994,Autumn,White Shark
Chile,South America,3,1994,Autumn,White Shark
South Africa,Africa,2,1994,Summer,White Shark
Australia,Oceania,11,1993,Spring,Tiger
South Africa,Africa,9,1993,Spring,White Shark
El Salvador,North America,9,1993,Autumn,White Shark
Bahamas,North America,8,1993,Summer,Blacktip
Australia,Oceania,8,1993,Winter,White Shark
South Africa,Africa,7,1993,Winter,White Shark
Australia,Oceania,6,1993,Winter,White Shark
Australia,Oceania,6,1993,Winter,White Shark
Japan,Asia,3,1993,Spring,White Shark
Australia,Oceania,10,1992,Spring,White Shark
Bahamas,North America,8,1992,Summer,Blacktip
Australia,Oceania,8,1992,Winter,White Shark
Japan,Asia,6,1992,Summer,White Shark
New Zealand,Oceania,4,1992,Autumn,White Shark
Japan,Asia,3,1992,Spring,White Shark
South Africa,Africa,1,1992,Summer,Blacktip
Australia,Oceania,9,1991,Spring,White Shark
Italy,Europe,7,1991,Summer,White Shark
Hong Kong,Asia,6,1991,Summer,Tiger
South Africa,Africa,5,1991,Autumn,White Shark
South Africa,Africa,2,1991,Summer,White Shark
South Africa,Africa,9,1990,Spring,White Shark
South Africa,Africa,6,1990,Winter,White Shark
South Africa,Africa,5,1990,Autumn,White Shark
South Africa,Africa,4,1990,Autumn,White Shark
Australia,Oceania,4,1990,Autumn,Tiger
Australia,Oceania,11,1989,Spring,White Shark
South Africa,Africa,11,1989,Spring,White Shark
Australia,Oceania,10,1989,Spring,White Shark
Australia,Oceania,10,1989,Spring,White Shark
South Africa,Africa,9,1989,Spring,White Shark
South Africa,Africa,8,1989,Winter,White Shark
South Africa,Africa,7,1989,Winter,White Shark
Italy,Europe,6,1989,Summer,White Shark
South Africa,Africa,6,1989,Winter,White Shark
South Africa,Africa,6,1989,Winter,White Shark
Australia,Oceania,3,1989,Autumn,White Shark
Australia,Oceania,3,1989,Autumn,Tiger
Italy,Europe,2,1989,Winter,White Shark
Australia,Oceania,1,1989,Summer,Tiger
Chile,South America,12,1988,Summer,White Shark
South Africa,Africa,6,1988,Winter,White Shark
Australia,Oceania,2,1988,Summer,Mako
Fiji,Oceania,2,1988,Summer,Tiger
South Africa,Africa,10,1987,Spring,White Shark
Australia,Oceania,9,1987,Spring,White Shark
South Africa,Africa,9,1987,Spring,White Shark
South Africa,Africa,3,1987,Autumn,White Shark
South Africa,Africa,1,1987,Summer,White Shark
South Africa,Africa,12,1986,Summer,White Shark
Australia,Oceania,7,1986,Winter,White Shark
Spain,Europe,3,1986,Spring,White Shark
South Africa,Africa,2,1986,Summer,White Shark
South Africa,Africa,10,1985,Spring,White Shark
Australia,Oceania,3,1985,Autumn,White Shark
South Africa,Africa,1,1985,Summer,White Shark
South Africa,Africa,1,1985,Summer,White Shark
Italy,Europe,12,1984,Winter,White Shark
Australia,Oceania,11,1984,Spring,Tiger
Mexico,North America,9,1984,Autumn,White Shark
South Africa,Africa,6,1984,Winter,White Shark
Australia,Oceania,2,1984,Summer,White Shark
Australia,Oceania,12,1983,Summer,White Shark
South Africa,Africa,8,1983,Winter,White Shark
Australia,Oceania,7,1983,Winter,Tiger
Australia,Oceania,7,1983,Winter,Tiger
Australia,Oceania,7,1983,Winter,Tiger
Bahamas,North America,6,1983,Summer,Blacktip
South Africa,Africa,3,1983,Autumn,Blacktip
South Africa,Africa,1,1983,Summer,White Shark
South Africa,Africa,9,1982,Spring,White Shark
